1-qid,two_realRank2,two_realRank,State,MART,RandomFor,ndcg_term_MART,ndcg_term_RandomFor
2014,70,32,University of Rochester,25,32,0.003039229,0.002831998
2014,73,33,Georgetown University,31,33,0.002739726,0.002692625
2014,74,34,Yeshiva University,46,40,0.002432856,0.00252233
2014,76,35,Ohio State University-Main Campus,41,35,0.002440119,0.002545084
2014,77,36,University of Florida,33,38,0.002552748,0.002457148
2014,80,37,Georgia Institute of Technology-Main Campus,34,34,0.002436988,0.002436988
2014,87,38,The University of Texas at Austin,29,36,0.002342472,0.002206422
2014,89,39,University of Illinois Chicago,44,42,0.002045931,0.002070661
2014,91,40,University of California-San Diego,39,37,0.002064855,0.002093972
2014,98,41,University of Arizona,54,48,0.001764997,0.001817384
2014,100,42,Michigan State University,43,44,0.001831693,0.001820879
2014,101,43,Purdue University-Main Campus,42,41,0.001824642,0.001836129
2014,104,44,University of Notre Dame,48,45,0.001712535,0.001740794
2014,107,45,Dartmouth College,30,39,0.00188644,0.001756092
2014,113,46,University of Illinois Urbana-Champaign,37,43,0.001686296,0.001620967
2014,115,47,Rutgers University-New Brunswick,45,46,0.001574283,0.00156549
2014,123,48,George Washington University,40,47,0.001517499,0.001455709
2014,125,49,University at Buffalo,50,49,0.001410331,0.001417471
2014,126,50,Tulane University of Louisiana,47,50,0.001421049,0.001399138
2014,127,51,University of California-Santa Barbara,57,53,0.001344152,0.001368231
2014,137,52,University of Utah,51,52,0.001280475,0.001274332
2014,141,53,Pennsylvania State University-Main Campus,49,51,0.001256623,0.001244149
2014,154,54,Indiana University of Pennsylvania-Main Campus,58,55,0.001103842,0.001118152
2014,166,55,Stony Brook University,53,54,0.001046779,0.001041986
2014,182,56,University of Iowa,55,56,0.000946129,0.000941987
2014,185,57,Colorado School of Mines,75,63,0.000865152,0.000900901
2014,189,58,University of Kansas,52,57,0.000923722,0.000903213
2014,194,59,Wake Forest University,59,60,0.000872648,0.00086914
2014,197,60,Rensselaer Polytechnic Institute,60,59,0.000855904,0.000859359
2014,205,61,University of California-Irvine,56,58,0.0008363,0.000829227
2014,208,62,Iowa State University,68,61,0.000787046,0.000807446
2014,210,63,Wayne State University,65,64,0.000787822,0.000790703
2014,215,64,Drexel University,64,62,0.000772315,0.00077814
2014,231,65,William & Mary,62,65,0.000724243,0.000716202
2014,232,66,The University of Texas at Dallas,71,68,0.000698606,0.000705628
2014,236,67,Brandeis University,69,66,0.000691319,0.000698521
2014,252,68,University of California-Riverside,72,71,0.000641093,0.000643161
2014,254,69,University of Cincinnati-Main Campus,66,70,0.000649019,0.00064019
2014,258,70,University of Delaware,63,69,0.000645995,0.000632369
2014,260,71,Northeastern University,70,67,0.000625417,0.000631816
2014,262,72,Arkansas State University,80,81,0.000602032,0.000600356
2014,264,73,Oregon State University,82,76,0.000594173,0.000604437
2014,268,74,University of California-Santa Cruz,74,73,0.000599045,0.000600913
2014,287,75,University of Oklahoma-Norman Campus,73,75,0.000561132,0.000557676
2014,291,76,Creighton University,83,85,0.000537587,0.000534747
2014,295,77,University of South Carolina-Columbia,90,82,0.000520888,0.000531735
2014,297,78,Lehigh University,76,77,0.000537277,0.000535686
2014,298,79,Boston College,67,72,0.000551248,0.000542132
